Trace
Swept SA
A.14.16,N9030A
544 B1X B1Y B25 B40 CR3 DP2 EA3 EDP EMC EP1 EXM FSA LFE LNP MPB NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,85000000
Stop Frequency,115000000
Average Count,1
Average Type,LogPower(Video)
RBW,270000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,270000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
85000000,-88.0949020385742
85030000,-92.7609024047852
85060000,-94.5084686279297
85090000,-94.3025741577148
85120000,-91.2370376586914
85150000,-92.9948959350586
85180000,-91.3198623657227
85210000,-94.4505767822266
85240000,-93.7544784545898
85270000,-95.8467254638672
85300000,-100.819931030273
85330000,-99.432991027832
85360000,-91.8953704833984
85390000,-92.4383773803711
85420000,-92.2677536010742
85450000,-92.4484329223633
85480000,-93.1163787841797
85510000,-92.776725769043
85540000,-89.1511688232422
85570000,-89.6272964477539
85600000,-94.2955017089844
85630000,-107.860107421875
85660000,-96.2185974121094
85690000,-95.690803527832
85720000,-93.4153289794922
85750000,-90.3468551635742
85780000,-87.4819564819336
85810000,-84.835334777832
85840000,-84.4486465454102
85870000,-85.14892578125
85900000,-90.8467788696289
85930000,-91.3265762329102
85960000,-90.4643859863281
85990000,-93.0813827514648
86020000,-90.7456359863281
86050000,-95.084587097168
86080000,-90.8299255371094
86110000,-100.837448120117
86140000,-96.5805816650391
86170000,-104.638313293457
86200000,-99.6259307861328
86230000,-90.990234375
86260000,-86.2857208251953
86290000,-86.6596145629883
86320000,-85.9289016723633
86350000,-88.5024566650391
86380000,-89.7127075195313
86410000,-100.276496887207
86440000,-97.1638565063477
86470000,-101.263877868652
86500000,-95.6259918212891
86530000,-90.9729232788086
86560000,-88.4805603027344
86590000,-92.2101745605469
86620000,-88.5000305175781
86650000,-103.847518920898
86680000,-114.536987304688
86710000,-116.517448425293
86740000,-99.1227798461914
86770000,-94.6850509643555
86800000,-94.6481170654297
86830000,-99.1354446411133
86860000,-90.8760452270508
86890000,-94.4910049438477
86920000,-90.8991851806641
86950000,-107.064659118652
86980000,-90.9972915649414
87010000,-88.2183074951172
87040000,-88.2460479736328
87070000,-94.7279968261719
87100000,-93.1271133422852
87130000,-95.1457977294922
87160000,-104.819580078125
87190000,-104.633453369141
87220000,-94.1016235351563
87250000,-98.028938293457
87280000,-94.1203536987305
87310000,-102.544006347656
87340000,-95.8536911010742
87370000,-104.222229003906
87400000,-95.3359222412109
87430000,-97.8499526977539
87460000,-94.4455413818359
87490000,-94.7378540039063
87520000,-92.4351119995117
87550000,-91.9388427734375
87580000,-88.9430465698242
87610000,-96.7280426025391
87640000,-90.2795257568359
87670000,-88.6911392211914
87700000,-86.6522369384766
87730000,-91.7025299072266
87760000,-86.9421615600586
87790000,-100.616195678711
87820000,-88.3668212890625
87850000,-87.206901550293
87880000,-78.6109008789063
87910000,-78.5078201293945
87940000,-78.6377182006836
87970000,-79.3144073486328
88000000,-81.0685119628906
88030000,-82.2118835449219
88060000,-86.8601684570313
88090000,-90.1929168701172
88120000,-85.5486602783203
88150000,-81.5445404052734
88180000,-81.1981964111328
88210000,-82.4437255859375
88240000,-84.6130676269531
88270000,-85.0413513183594
88300000,-89.1391677856445
88330000,-97.9663009643555
88360000,-95.2137756347656
88390000,-97.7020874023438
88420000,-89.5521850585938
88450000,-86.4314575195313
88480000,-82.7168960571289
88510000,-81.1939239501953
88540000,-81.3377838134766
88570000,-84.921142578125
88600000,-87.1257629394531
88630000,-86.3090591430664
88660000,-78.6515731811523
88690000,-79.6949920654297
88720000,-78.5901947021484
88750000,-83.5853652954102
88780000,-78.3913879394531
88810000,-75.5631637573242
88840000,-74.5979995727539
88870000,-78.8222274780273
88900000,-74.8320693969727
88930000,-88.0901336669922
88960000,-78.4358215332031
88990000,-80.6536712646484
89020000,-78.2869873046875
89050000,-86.0719833374023
89080000,-76.0127182006836
89110000,-76.2793121337891
89140000,-75.5956344604492
89170000,-80.6738510131836
89200000,-85.6940155029297
89230000,-90.2570495605469
89260000,-82.154182434082
89290000,-81.347038269043
89320000,-80.2576751708984
89350000,-89.8359146118164
